 deskeast,, desknorth,, deskwest,, desksouth,, flooreast,, floornorth,, floorwest,, floorsouth,, void,
left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor
417,599,416,599,422,589,421,591,356,459,389,435,386,522,279,395,1,1
416,600,425,591,424,593,426,587,356,459,389,435,383,522,279,395,1,2
416,600,423,591,422,593,426,587,355,458,387,435,382,522,278,394,1,1
416,600,423,591,422,592,426,587,355,459,387,434,381,522,278,394,1,2
416,599,423,591,422,592,426,587,355,459,387,435,382,521,277,394,1,2
416,599,423,591,422,592,426,587,355,458,387,435,382,521,278,394,1,2
416,599,423,590,421,592,426,587,355,458,387,435,381,521,278,394,1,1
416,599,423,590,422,593,425,586,355,459,387,435,381,521,277,394,1,2
416,599,423,590,422,592,426,587,355,459,387,434,382,522,277,394,1,2
416,600,423,590,422,592,425,587,355,458,387,434,382,521,277,394,1,1
416,599,422,589,422,592,425,586,355,458,387,434,382,521,277,393,1,2
416,600,422,589,421,592,426,586,355,458,387,434,381,522,277,394,1,1
416,599,422,590,422,593,426,586,355,458,387,434,381,521,277,394,2,2
416,600,422,590,422,592,426,586,355,458,387,435,381,521,277,393,2,2
416,600,422,590,421,592,426,587,355,458,387,434,381,521,277,394,1,2
416,600,422,590,422,592,426,586,355,458,387,434,381,521,277,393,1,2
416,600,422,590,421,592,426,586,355,458,387,434,380,521,277,393,2,2
416,599,422,590,422,591,426,587,355,458,387,434,381,521,277,393,1,1
415,598,422,590,422,592,426,585,355,458,386,434,381,521,277,393,1,2
415,598,422,590,422,592,426,585,355,458,387,434,381,521,277,393,1,1
416,600,422,590,420,592,426,586,355,458,387,434,381,521,277,393,1,1
416,599,422,589,421,592,425,585,355,458,387,434,382,522,278,393,1,2
417,600,422,590,422,593,425,586,354,458,387,434,381,521,277,393,1,2
416,599,422,590,421,591,425,586,355,458,387,434,382,521,277,393,2,3
416,600,422,590,421,591,426,586,355,458,387,434,381,521,277,393,2,1
416,599,422,590,421,592,425,586,353,458,387,434,381,521,277,393,1,1
416,600,422,590,421,592,425,586,355,457,387,434,380,521,277,393,1,1
416,598,422,589,422,592,425,586,355,459,387,434,381,521,277,393,1,1
416,598,423,590,421,592,425,585,355,458,387,434,381,523,277,393,1,1
416,600,422,590,421,592,425,586,355,458,387,434,381,521,277,393,1,0
416,599,422,591,422,592,425,586,354,458,387,434,381,521,277,393,2,2
416,599,422,589,422,592,426,586,355,458,387,434,381,521,277,393,1,1
416,599,422,589,421,592,425,586,355,458,387,434,381,521,277,393,1,1
416,599,422,591,421,592,425,586,354,458,386,434,381,520,277,393,1,1
416,599,422,590,421,591,425,586,355,458,387,434,380,521,277,394,1,1
416,600,422,590,421,592,425,585,355,458,387,434,381,521,277,393,1,1
416,600,422,590,421,592,426,586,354,458,387,434,381,520,277,393,1,1
416,600,422,590,421,592,426,587,354,458,387,434,381,521,277,393,2,1
416,600,422,590,421,592,425,585,354,457,387,434,381,520,278,394,1,1
416,600,422,590,421,591,425,586,355,458,387,434,381,520,277,393,1,1
416,600,422,590,421,592,425,586,355,458,387,434,381,520,277,393,1,1
416,599,422,591,421,591,425,586,355,457,387,434,381,520,277,393,1,1
416,600,422,589,421,592,425,586,354,458,387,434,381,521,277,393,1,1
416,600,422,590,421,592,426,586,355,458,387,434,381,520,278,393,1,1
416,599,422,590,421,591,425,586,354,458,387,434,381,520,277,393,2,2
416,600,422,590,421,591,426,586,354,458,387,434,381,521,277,393,1,1
416,599,422,588,421,592,425,586,354,457,387,434,381,521,277,393,1,1
416,600,422,591,421,592,426,586,355,458,387,434,381,521,277,393,1,1
416,599,422,590,421,592,425,586,355,458,387,434,381,521,277,393,1,1
416,600,422,590,421,592,425,586,355,457,387,434,381,522,277,393,1,1
416,599,422,590,421,592,425,586,354,458,387,434,382,518,277,393,1,2
416,599,422,589,422,592,425,585,355,458,387,434,381,520,277,393,1,2
416,600,422,589,421,591,425,586,354,458,387,434,382,520,277,393,1,2
416,600,422,590,421,592,426,586,355,458,387,434,381,521,277,393,1,2
416,600,422,590,421,592,426,586,355,458,387,434,381,521,277,393,2,2
416,600,422,589,421,592,425,586,354,458,387,434,381,521,277,393,1,1
416,599,422,589,421,592,425,586,354,457,386,434,381,521,277,393,1,2
416,601,422,590,421,592,425,586,354,458,387,434,381,521,277,393,1,1
416,599,422,589,421,592,425,585,354,458,387,433,381,520,277,393,2,1
416,599,422,590,421,592,425,586,354,458,387,434,381,521,277,393,2,2
416,600,422,590,421,590,425,585,354,458,387,434,381,522,277,393,1,1
416,600,422,590,421,592,425,587,355,458,387,434,381,520,276,393,1,2
416,599,422,589,421,591,425,586,354,458,387,433,381,520,277,392,2,1
416,600,422,590,421,591,425,586,355,458,387,434,381,520,277,393,1,2
416,600,421,590,421,591,425,586,354,458,386,434,382,520,277,393,1,2
416,600,422,589,421,591,425,586,354,458,387,433,381,521,277,393,2,2
416,600,422,590,422,592,425,586,355,458,387,434,381,520,277,393,2,2
416,600,422,590,421,591,425,586,354,458,386,434,381,520,277,393,2,2
416,600,422,590,421,592,425,586,354,458,387,434,381,520,277,393,2,2
416,599,422,589,421,590,426,585,354,458,387,434,381,521,277,393,1,3
416,599,422,591,420,591,425,586,355,458,387,434,381,521,277,393,1,2
416,599,422,590,421,592,425,586,354,458,387,434,381,520,277,392,1,1
415,599,422,589,421,590,425,586,354,458,387,435,381,521,277,393,2,2
416,600,422,590,421,591,425,585,355,458,387,434,381,520,277,393,1,2
416,599,422,590,422,591,425,585,354,458,387,434,381,522,277,392,1,2
416,600,422,590,421,593,425,586,354,458,387,434,381,521,277,393,2,2
417,600,422,589,421,591,424,585,354,458,387,434,381,520,277,393,1,2
416,599,422,590,421,592,425,586,355,457,386,434,381,521,277,393,1,2
416,600,422,589,421,592,425,586,354,458,387,434,381,519,277,393,1,1
416,599,422,590,420,589,425,586,354,458,387,433,381,521,277,393,1,2
416,600,422,590,420,589,425,586,354,458,387,434,381,520,277,394,2,2
417,600,422,589,421,591,425,586,354,458,387,434,381,520,277,394,1,2
415,600,422,590,420,591,425,586,354,458,387,433,381,521,277,393,1,2
416,599,422,589,421,592,424,586,354,458,387,434,381,520,277,393,2,2
416,600,422,590,421,591,425,586,355,458,387,434,381,519,277,393,1,2
416,599,422,590,421,591,425,586,354,458,386,434,381,520,277,393,1,2
415,600,422,589,421,592,425,586,354,458,386,434,381,520,277,393,2,1
417,599,422,589,421,591,425,586,354,458,386,433,381,521,277,393,1,2
416,600,422,589,421,592,425,586,354,458,387,434,381,520,277,393,1,2
416,600,422,589,421,590,425,584,355,458,387,434,381,520,277,393,1,2
416,600,422,590,421,591,425,583,354,458,386,434,381,521,277,393,1,2
416,600,422,590,421,590,425,586,354,458,387,434,381,521,277,393,1,2
416,599,422,589,421,591,426,585,355,458,387,434,381,521,277,393,0,1
415,600,422,590,421,591,425,586,354,458,386,434,381,519,277,393,1,2
416,599,422,590,421,591,425,586,354,458,387,434,381,521,277,393,2,2
416,599,422,589,421,591,425,585,354,457,386,434,381,521,277,393,2,2
416,600,421,589,421,590,425,586,355,458,387,434,381,520,277,394,1,2
416,600,422,590,422,592,425,586,354,457,386,434,381,520,277,394,3,4
416,600,421,589,421,590,425,586,355,458,387,434,381,520,277,394,1,2
416,600,422,590,422,592,425,586,354,457,386,434,381,520,277,394,3,4
416,600,421,589,421,590,425,586,355,458,387,434,381,520,277,394,1,2
