 deskeast,, desknorth,, deskwest,, desksouth,
left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor
408,591,419,593,416,598,419,599
410,594,418,592,416,598,418,598
410,594,418,591,416,599,417,597
410,593,418,591,415,598,417,598
411,594,418,591,415,598,417,597
410,593,418,591,415,598,418,598
410,593,418,591,415,598,418,598
410,594,418,591,414,598,418,597
410,594,418,591,415,598,417,598
411,594,418,591,416,598,421,597
410,594,418,591,415,598,417,598
410,594,418,591,415,598,417,597
410,594,418,592,416,597,417,598
410,594,418,591,415,597,417,598
410,594,418,591,415,597,417,598
410,593,418,591,416,597,417,598
410,594,418,591,416,598,417,597
410,594,418,592,415,597,417,598
410,594,418,591,416,597,417,597
411,593,418,591,416,597,417,598
410,594,418,591,415,597,417,598
410,594,418,590,415,597,417,598
410,594,418,591,415,597,418,598
410,594,418,591,415,598,417,598
410,594,418,591,415,597,417,598
410,593,418,591,415,597,417,598
410,593,418,590,416,597,418,598
410,593,418,591,415,597,418,598
410,593,418,592,415,597,417,598
410,594,417,591,415,597,417,598
410,593,418,591,416,597,416,596
410,594,418,590,416,598,417,598
410,594,418,591,415,597,418,598
410,594,418,591,415,597,416,599
410,594,418,591,415,597,417,598
410,593,418,590,415,597,417,598
410,594,418,590,415,597,418,598
410,594,418,590,415,597,414,595
410,593,418,591,415,597,417,598
410,594,418,590,415,597,417,598
410,593,418,590,415,596,417,596
410,594,418,590,415,597,417,598
410,593,418,590,416,597,417,598
410,594,418,590,415,597,418,598
410,594,418,590,415,597,417,597
410,594,418,590,415,597,417,597
410,594,418,590,415,597,417,598
410,594,418,590,415,597,417,598
410,593,418,590,415,597,418,598
410,594,418,590,415,597,417,598
410,594,418,590,416,597,417,598
410,593,418,590,415,597,417,598
410,593,418,590,414,597,418,597
410,593,418,590,414,597,417,598
410,594,418,591,415,597,417,598
410,594,418,590,415,597,418,598
410,593,418,590,415,597,417,598
410,593,418,590,415,597,417,598
410,593,418,590,415,597,418,598
410,594,418,590,415,597,417,597
410,594,418,590,415,597,417,598
410,594,418,590,415,597,416,597
410,593,418,590,415,597,418,601
410,593,418,590,415,597,418,598
410,593,418,590,415,597,417,598
410,593,418,590,415,597,417,598
410,594,418,590,415,597,417,597
410,593,418,590,414,597,418,598
410,593,418,591,415,597,418,598
410,594,418,590,415,597,417,597
410,595,418,590,415,597,418,597
410,593,418,590,415,597,416,597
410,593,418,591,415,597,417,598
410,593,418,590,415,597,417,598
410,594,418,590,415,597,417,597
410,593,418,591,415,597,417,598
410,593,418,591,415,597,417,598
410,593,418,590,415,597,417,598
410,593,418,590,415,597,417,598
410,593,418,590,415,597,417,598
410,593,418,590,415,597,416,598
410,593,417,590,415,596,417,598
410,593,418,590,415,597,416,598
410,593,418,590,415,597,419,595
410,593,418,590,415,598,419,595
410,593,418,590,415,597,417,598
410,594,418,590,415,597,417,598
410,593,418,590,415,597,417,597
410,593,418,590,414,596,417,598
410,593,417,590,415,597,418,598
410,593,418,590,415,597,417,597
411,593,418,590,415,597,417,597
410,593,418,591,415,597,417,597
410,593,417,590,415,597,418,596
410,593,418,590,414,597,418,597
410,594,418,590,415,597,417,598
410,593,418,590,415,597,417,598
410,593,418,590,415,597,417,597
410,593,418,590,415,597,418,598
410,593,418,591,415,597,418,597
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,2.05834e-312,2.18566e-312,,,,,
