11cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10cm,1266,1237,1266,1237,1266,1237,1252,1275,1266,1249,1225,1275,1271,1271,1241,1250,1279,1269,1250,1226,1274,1272,1259,1240,1247,1275,1271,1255,1229,1280,1281,1261,1243,1242,1279,1275,1255,1243,1268,1289,1267,1248,1240,1276,1275,1260,1235,1268,1275,1266,1239,1239,1232,1273,1266,1254,1230,1255,1267,1262,1235,1223,1269,1266,1250,1231,1249,1271,1259,1239,1219,1268,1264,1264,1227,1245,1268,1263,1251,1219,1265,1262,1248,1225,1244,1269,1261,1240,1217,1263,1266,1253,1249,1248,1268,1256,1239,1225,1262,1268
9cm,1581,1565,1581,1565,1556,1548,1571,1567,1565,1545,1560,1576,1571,1558,1550,1575,1567,1557,1548,1565,1571,1570,1556,1552,1574,1572,1561,1548,1566,1569,1561,1558,1553,1574,1571,1570,1547,1567,1568,1559,1551,1557,1576,1567,1563,1548,1569,1572,1572,1569,1550,1550,1575,1569,1560,1552,1568,1570,1565,1558,1553,1571,1572,1558,1548,1572,1572,1564,1550,1555,1568,1570,1563,1546,1569,1574,1574,1552,1553,1571,1563,1555,1550,1571,1572,1565,1555,1549,1573,1565,1558,1545,1571,1577,1567,1554,1553,1567,1567,1555
8cm,1837,1841,1837,1841,1839,1827,1829,1839,1841,1838,1830,1832,1842,1842,1829,1818,1833,1844,1837,1830,1839,1838,1834,1829,1825,1839,1833,1835,1825,1840,1843,1832,1829,1827,1838,1833,1826,1827,1842,1838,1836,1825,1832,1837,1839,1824,1819,1842,1843,1837,1833,1837,1842,1835,1830,1822,1822,1842,1842,1838,1824,1842,1843,1837,1826,1832,1839,1834,1834,1823,1840,1840,1834,1826,1833,1840,1836,1827,1827,1842,1842,1836,1825,1834,1839,1834,1827,1819,1843,1845,1836,1829,1833,1840,1837,1828,1816,1831,1845,1834
7cm,2088,2106,2088,2106,2097,2097,2094,2097,2103,2097,2092,2088,2105,2106,2096,2092,2102,2100,2098,2093,2088,2102,2106,2102,2095,2102,2104,2100,2092,2092,2097,2095,2098,2102,2091,2107,2103,2100,2091,2094,2102,2097,2092,2095,2104,2102,2100,2096,2100,2103,2101,2091,2085,2105,2103,2102,2092,2097,2100,2099,2092,2081,2099,2105,2102,2092,2102,2106,2098,2093,2091,2100,2094,2099,2093,2104,2101,2101,2092,2093,2098,2093,2091,2093,2102,2104,2093,2092,2097,2102,2100,2100,2094,2085,2099,2105,2098,2092,2100,2102
6cm,2387,2380,2387,2380,2379,2375,2380,2388,2386,2381,2387,2389,2384,2378,2386,2382,2381,2384,2383,2383,2387,2390,2387,2379,2378,2388,2384,2383,2383,2387,2388,2385,2383,2380,2390,2387,2381,2375,2388,2390,2390,2382,2379,2388,2387,2382,2372,2379,2389,2385,2379,2379,2387,2385,2382,2376,2378,2379,2387,2380,2379,2387,2395,2381,2378,2383,2392,2381,2384,2382,2385,2388,2385,2385,2381,2386,2384,2379,2377,2381,2388,2387,2383,2379,2386,2388,2384,2375,2377,2391,2385,2380,2379,2387,2387,2381,2374,2379,2384,2386
5cm,2656,2669,2656,2669,2666,2666,2661,2664,2667,2663,2662,2657,2663,2670,2666,2663,2667,2664,2664,2665,2661,2660,2664,2665,2667,2658,2666,2669,2665,2662,2665,2663,2664,2659,2664,2670,2669,2663,2659,2659,2673,2664,2658,2659,2676,2672,2664,2659,2667,2666,2664,2661,2660,2666,2670,2663,2658,2669,2667,2663,2658,2665,2664,2660,2665,2663,2666,2665,2665,2666,2661,2665,2667,2660,2660,2663,2670,2667,2663,2658,2664,2668,2661,2658,2659,2673,2668,2664,2663,2664,2666,2662,2661,2660,2664,2666,2662,2657,2667,2670
4cm,3044,3054,3044,3054,3055,3050,3048,3051,3050,3054,3051,3051,3050,3054,3049,3047,3050,3055,3053,3051,3053,3059,3054,3051,3049,3055,3054,3050,3048,3055,3060,3051,3051,3054,3056,3052,3050,3050,3051,3055,3052,3049,3051,3055,3051,3051,3048,3050,3050,3050,3050,3054,3055,3057,3045,3049,3054,3055,3050,3047,3056,3061,3053,3049,3052,3053,3054,3050,3049,3056,3058,3053,3053,3050,3059,3050,3049,3051,3055,3051,3052,3051,3058,3055,3050,3049,3055,3054,3051,3048,3050,3055,3053,3049,3052,3053,3053,3050,3050,3055
3cm,3564,3564,3564,3564,3562,3570,3567,3567,3563,3561,3561,3567,3564,3564,3562,3562,3576,3564,3562,3563,3569,3567,3565,3563,3562,3564,3568,3563,3568,3566,3567,3564,3571,3566,3566,3565,3561,3566,3568,3576,3564,3568,3564,3564,3561,3562,3567,3566,3566,3563,3564,3565,3565,3567,3563,3565,3565,3565,3563,3566,3565,3563,3562,3562,3567,3566,3563,3564,3562,3576,3564,3562,3561,3568,3573,3561,3563,3567,3567,3570,3569,3566,3566,3562,3565,3564,3565,3571,3566,3562,3566,3568,3565,3562,3560,3563,3565,3565,3565,3564
2cm,4170,4169,4170,4169,4170,4171,4172,4170,4169,4171,4169,4169,4170,4170,4171,4173,4168,4163,4170,4168,4168,4167,4170,4168,4170,4168,4169,4170,4171,4171,4169,4169,4165,4172,4171,4168,4172,4169,4171,4170,4172,4172,4169,4167,4169,4168,4172,4168,4166,4169,4170,4164,4169,4170,4170,4171,4167,4171,4169,4172,4169,4167,4169,4174,4172,4168,4170,4168,4169,4169,4169,4169,4169,4170,4170,4172,4165,4171,4168,4170,4164,4169,4169,4171,4171,4168,4169,4169,4170,4170,4170,4170,4169,4170,4169,4168,4170,4171,4169,4171
1cm,4328,4327,4328,4327,4328,4327,4327,4323,4326,4327,4326,4326,4332,4329,4329,4328,4328,4333,4327,4333,4325,4329,4328,4327,4331,4329,4327,4328,4327,4328,4325,4327,4326,4327,4327,4328,4328,4327,4324,4329,4325,4327,4328,4328,4328,4327,4327,4327,4330,4330,4326,4325,4330,4328,4327,4323,4323,4327,4336,4327,4325,4329,4329,4325,4328,4327,4327,4328,4324,4325,4329,4327,4327,4326,4328,4331,4329,4328,4327,4325,4329,4325,4328,4328,4329,4329,4328,4326,4326,4326,4327,4325,4330,4328,4329,4327,4324,4331,4326,4327
0cm,4327,4327,4362,4358,4362,4359,4360,4360,4361,4369,4360,4357,4359,4359,4360,4360,4360,4365,4359,4362,4360,4361,4360,4360,4360,4362,4360,4365,4360,4361,4360,4366,4361,4361,4360,4361,4367,4359,4358,4361,4359,4356,4347,4342,4342,4342,4346,4343,4346,4348,4349,4349,4347,4348,4349,4348,4347,4352,4349,4347,4350,4347,4346,4346,4349,4349,4347,4350,4347,4348,4347,4347,4348,4344,4348,4346,4347,4347,4347,4347,4348,4345,4347,4345,4350,4351,4353,4349,4347,4349,4349,4348,4350,4348,4351,4347,4344,4349,4350,4356
