11cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8cm,1261,1259,1262,1261,1259,1262,1262,1254,1270,1265,1265,1268,1263,1256,1259,1260,1256,1255,1266,1268,1263,1264,1263,1263,1261,1261,1266,1274,1262,1276,1274,1272,1279,1278,1269,1267,1267,1272,1264,1260,1279,1264,1269,1267,1260,1259,1256,1252,1249,1248,1261,1255,1253,1254,1252,1257,1256,1262,1264,1269,1278,1277,1276,1278,1268,1271,1268,1269,1265,1269,1278,1274,1274,1284,1284,1272,1271,1268,1270,1265,1266,1281,1267,1270,1269,1262,1262,1263,1267,1260,1264,1273,1270,1272,1274,1273,1272,1272,1269,1269
7cm,1601,1603,1607,1606,1608,1601,1603,1610,1610,1609,1604,1606,1605,1608,1606,1600,1603,1608,1608,1606,1605,1601,1602,1602,1602,1597,1602,1610,1610,1610,1614,1614,1612,1611,1611,1607,1605,1606,1615,1617,1616,1609,1607,1610,1613,1610,1608,1606,1614,1613,1615,1615,1612,1611,1612,1613,1608,1609,1616,1614,1615,1611,1612,1611,1612,1611,1609,1604,1616,1613,1615,1614,1613,1611,1610,1610,1611,1611,1615,1615,1615,1612,1613,1612,1610,1608,1613,1608,1611,1617,1614,1613,1613,1613,1612,1611,1609,1609,1609,1615
6cm,1824,1838,1845,1824,1838,1824,1824,1824,1839,1825,1824,1824,1838,1824,1824,1823,1838,1824,1824,1823,1838,1839,1824,1825,1839,1825,1824,1824,1825,1839,1825,1825,1810,1839,1825,1825,1825,1825,1825,1825,1825,1839,1811,1825,1824,1838,1823,1823,1824,1838,1824,1824,1824,1839,1825,1839,1825,1839,1825,1825,1839,1839,1839,1825,1825,1839,1825,1825,1825,1839,1825,1825,1811,1839,1825,1825,1825,1839,1825,1825,1825,1839,1824,1824,1797,1825,1839,1825,1825,1825,1839,1825,1825,1825,1839,1825,1824,1825,1839,1825
5cm,2230,2229,2257,2230,2229,2231,2228,2225,2234,2232,2232,2233,2234,2230,2230,2229,2227,2228,2232,2231,2226,2230,2229,2228,2229,2227,2227,2230,2234,2231,2231,2234,2231,2233,2231,2234,2233,2231,2231,2235,2234,2233,2231,2234,2232,2232,2230,2231,2227,2231,2230,2231,2229,2229,2227,2228,2227,2225,2225,2228,2229,2227,2228,2227,2226,2226,2224,2222,2223,2227,2227,2225,2229,2226,2227,2227,2228,2223,2225,2230,2228,2228,2230,2230,2229,2227,2228,2230,2228,2228,2233,2232,2231,2234,2232,2230,2229,2229,2228,2228
4cm,2603,2601,2623,2603,2601,2600,2599,2601,2600,2598,2600,2602,2602,2601,2603,2602,2600,2600,2598,2599,2598,2600,2602,2602,2602,2604,2601,2603,2600,2600,2603,2598,2602,2599,2599,2599,2597,2596,2597,2595,2594,2597,2596,2601,2598,2599,2602,2599,2599,2601,2596,2598,2601,2605,2600,2603,2601,2599,2601,2601,2598,2599,2602,2601,2600,2603,2604,2598,2596,2594,2600,2595,2597,2599,2599,2599,2597,2598,2596,2593,2595,2595,2593,2597,2599,2594,2595,2599,2597,2595,2595,2597,2591,2597,2595,2597,2599,2598,2596,2597
3cm,2869,2872,2868,2869,2872,2871,2868,2872,2870,2872,2872,2867,2870,2868,2864,2867,2871,2870,2871,2869,2867,2869,2870,2865,2871,2866,2874,2869,2866,2870,2870,2862,2870,2866,2866,2864,2870,2869,2870,2866,2867,2870,2867,2864,2867,2865,2869,2865,2867,2870,2868,2864,2867,2871,2863,2864,2869,2872,2870,2864,2869,2869,2869,2868,2866,2867,2865,2868,2863,2868,2866,2867,2862,2866,2867,2867,2860,2868,2867,2867,2862,2870,2867,2866,2862,2866,2862,2867,2862,2866,2867,2865,2864,2864,2867,2862,2861,2865,2864,2864
2cm,3729,3727,3729,3729,3727,3730,3732,3729,3730,3730,3730,3728,3729,3730,3731,3729,3730,3730,3728,3728,3729,3729,3728,3731,3729,3730,3729,3729,3728,3728,3730,3727,3727,3731,3732,3729,3729,3729,3730,3729,3729,3731,3735,3728,3731,3729,3731,3732,3729,3729,3729,3729,3731,3728,3732,3728,3730,3727,3730,3728,3727,3729,3727,3728,3729,3728,3731,3730,3727,3727,3727,3728,3726,3727,3729,3727,3726,3726,3726,3728,3728,3729,3728,3728,3726,3727,3730,3730,3729,3728,3727,3726,3726,3728,3726,3731,3729,3729,3727,3726
1cm,4286,4287,4292,4286,4287,4288,4285,4284,4288,4288,4284,4286,4285,4286,4287,4288,4286,4286,4285,4285,4286,4288,4286,4289,4286,4282,4285,4285,4286,4287,4286,4286,4287,4284,4285,4285,4285,4285,4287,4283,4285,4287,4287,4288,4286,4285,4285,4286,4286,4288,4288,4284,4288,4284,4285,4285,4285,4287,4284,4285,4285,4285,4284,4285,4289,4288,4286,4285,4286,4288,4285,4285,4286,4285,4288,4285,4288,4285,4284,4284,4285,4288,4285,4286,4285,4285,4282,4285,4288,4288,4284,4285,4284,4286,4288,4285,4283,4289,4287,4284
0cm,4385,4387,4378,4385,4387,4387,4386,4389,4388,4388,4388,4389,4394,4387,4388,4389,4388,4393,4388,4388,4387,4390,4385,4387,4388,4388,4387,4386,4390,4386,4386,4388,4385,4387,4391,4389,4388,4388,4388,4389,4387,4390,4390,4390,4388,4389,4390,4390,4388,4389,4388,4390,4388,4391,4388,4390,4388,4388,4390,4389,4391,4389,4390,4389,4388,4391,4388,4387,4388,4389,4390,4388,4389,4389,4389,4387,4389,4388,4389,4389,4390,4389,4387,4389,4390,4386,4387,4388,4390,4390,4388,4390,4388,4386,4388,4391,4391,4391,4391,4390
