 foileast,, foilnorth,, foilwest,, foilsouth,
left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor
945,784,944,750,914,946,934,941
945,786,944,748,914,947,934,941
945,786,934,750,914,947,934,941
943,787,934,748,915,947,934,940
943,788,933,748,914,946,934,939
942,786,932,748,914,946,934,939
943,786,933,748,913,948,933,939
944,786,932,748,912,945,933,939
942,786,933,747,912,945,933,939
943,785,931,748,912,945,932,939
943,785,933,748,912,945,932,938
943,785,933,747,912,945,932,938
944,785,931,747,911,946,933,939
943,784,932,746,912,945,932,938
943,785,932,747,912,945,932,938
944,784,932,747,913,945,932,938
942,783,932,747,912,945,932,938
943,784,933,747,911,945,932,938
943,785,932,747,912,946,932,939
943,784,932,747,912,945,932,937
944,784,932,748,911,945,932,938
943,785,932,747,912,944,933,938
943,784,932,747,912,945,932,939
942,784,932,746,912,945,931,938
943,784,932,747,911,945,932,938
943,784,932,747,912,945,932,938
943,784,931,746,912,944,932,937
942,785,931,747,912,944,932,937
945,785,931,747,912,944,932,937
943,784,931,747,912,945,932,938
943,784,932,747,911,944,932,938
944,785,931,747,912,944,932,936
943,784,931,746,911,945,932,938
943,784,933,746,912,945,932,939
943,784,931,747,912,944,932,938
943,784,930,747,912,944,932,937
944,785,931,747,912,944,931,937
943,784,931,746,910,945,932,937
943,784,931,747,912,944,932,937
942,783,931,746,912,944,932,938
943,785,930,746,912,944,932,938
944,785,931,747,911,945,932,939
944,785,931,746,911,944,932,938
943,785,932,748,912,944,932,938
943,784,930,747,911,944,931,939
942,785,930,746,912,944,932,937
943,785,930,746,910,945,931,937
943,785,931,746,911,944,931,937
943,785,931,747,911,944,932,939
943,785,930,747,911,944,932,938
944,785,931,747,911,944,931,937
943,785,931,746,912,946,932,937
943,784,931,748,912,944,932,938
943,784,931,748,912,944,932,937
942,785,930,747,911,944,932,938
943,784,931,746,911,944,931,938
942,784,931,746,912,944,931,939
943,784,930,747,912,944,932,937
943,784,931,746,912,944,930,937
943,784,931,747,911,944,931,937
943,785,930,746,912,944,932,937
944,784,932,747,912,944,931,937
944,785,931,747,912,944,932,937
942,785,931,748,912,945,932,938
943,784,931,746,912,944,932,937
943,784,932,746,911,944,932,937
943,784,931,747,911,944,932,937
943,784,931,746,912,944,931,938
943,784,930,747,911,944,931,937
943,785,931,747,911,945,931,937
943,784,931,746,912,944,931,937
943,785,931,747,912,944,932,937
944,784,931,747,911,944,933,937
944,785,931,746,911,944,932,938
942,783,931,746,912,944,932,937
943,785,931,748,911,944,930,937
943,785,930,746,912,945,932,937
943,785,930,747,910,944,931,937
943,784,930,747,911,944,931,936
942,785,931,746,911,944,932,937
941,785,931,746,912,944,931,938
943,785,931,746,912,944,931,938
944,785,931,746,912,945,932,937
945,784,931,746,912,945,931,937
943,784,932,747,912,944,932,937
943,785,931,746,911,943,931,938
943,785,930,747,911,943,932,937
943,783,931,746,911,944,932,937
944,785,930,745,912,944,931,938
943,785,931,746,910,944,932,937
943,785,930,747,911,946,932,937
944,787,930,747,911,944,932,937
944,783,930,746,912,944,932,939
943,785,931,746,912,944,932,937
943,784,930,747,911,944,932,937
944,785,931,747,912,944,930,937
943,784,930,746,912,944,931,936
943,784,931,746,912,944,931,937
943,785,931,747,910,944,931,937
944,785,931,746,912,944,932,938
