11cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8cm,1062,1062,1062,1062,1058,1056,1067,1067,1053,1067,1062,1074,1064,1066,1056,1074,1060,1051,1053,1082,1056,1066,1065,1079,1055,1067,1059,1060,0,1076,1080,1070,1084,1055,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,0,0,0,0,0,0,0,0,0,1053,0,0,0,0,0,0,0,0,1054,0,0,0,1058,0,0,0,1058,0,0,1049,1057,1060,0,1069,0,0,0,0
7cm,1555,1527,1555,1527,1539,1527,1527,1527,1539,1525,1526,1525,1538,1526,1526,1539,1539,1539,1526,1525,1525,1539,1527,1526,1527,1540,1527,1527,1541,1540,1527,1527,1527,1540,1527,1520,1527,1540,1527,1528,1527,1540,1527,1525,1527,1539,1526,1526,1527,1539,1525,1523,1523,1536,1520,1519,1519,1532,1519,1519,1519,1533,1518,1518,1518,1532,1519,1519,1519,1533,1533,1519,1519,1520,1535,1520,1534,1521,1535,1522,1524,1521,1537,1524,1538,1526,1539,1527,1527,1527,1540,1528,1527,1527,1540,1527,1526,1528,1540,1527
6cm,1873,1855,1873,1855,1856,1869,1855,1856,1855,1870,1854,1856,1856,1870,1856,1856,1855,1870,1856,1856,1856,1870,1856,1856,1856,1870,1870,1856,1851,1855,1869,1854,1855,1843,1869,1855,1847,1855,1868,1855,1855,1855,1868,1855,1854,1854,1868,1855,1854,1855,1869,1868,1855,1854,1869,1869,1855,1855,1869,1855,1855,1856,1870,1856,1856,1856,1870,1856,1855,1856,1870,1856,1856,1825,1870,1856,1852,1852,1856,1869,1856,1870,1855,1870,1865,1856,1856,1869,1846,1855,1856,1870,1855,1856,1856,1870,1844,1856,1856,1870
5cm,2177,2176,2177,2176,2163,2163,2176,2162,2161,2162,2175,2162,2162,2189,2176,2162,2163,2162,2175,2162,2161,2162,2175,2162,2162,2163,2175,2162,2162,2162,2175,2162,2162,2161,2175,2162,2162,2161,2175,2161,2161,2161,2161,2175,2175,2161,2161,2175,2161,2161,2162,2176,2163,2163,2193,2176,2176,2163,2164,2176,2164,2176,2163,2177,2192,2190,2188,2176,2164,2189,2189,2177,2163,2164,2192,2176,2164,2163,2164,2176,2164,2164,2163,2176,2176,2190,2188,2176,2164,2163,2163,2177,2177,2163,2163,2191,2177,2188,2189,2188
4cm,2709,2707,2709,2707,2707,2708,2707,2709,2710,2707,2708,2708,2676,2712,2711,2707,2708,2709,2707,2707,2707,2707,2708,2710,2716,2711,2709,2710,2710,2708,2707,2706,2705,2709,2706,2708,2710,2707,2709,2705,2708,2707,2705,2708,2708,2707,2705,2708,2707,2710,2706,2707,2706,2706,2708,2708,2712,2705,2707,2706,2707,2705,2706,2705,2704,2706,2705,2714,2707,2705,2706,2705,2705,2704,2704,2706,2706,2707,2709,2705,2708,2704,2707,2705,2704,2710,2707,2706,2709,2708,2707,2706,2707,2705,2704,2707,2707,2707,2710,2712
3cm,3207,3202,3207,3202,3206,3199,3203,3203,3204,3203,3202,3203,3201,3205,3203,3204,3203,3203,3204,3203,3204,3202,3202,3203,3206,3206,3201,3202,3201,3204,3203,3204,3202,3202,3202,3204,3202,3204,3203,3202,3204,3202,3204,3203,3199,3206,3202,3198,3203,3202,3201,3201,3201,3199,3200,3202,3202,3202,3203,3203,3202,3203,3202,3201,3203,3204,3204,3202,3201,3202,3202,3201,3202,3202,3202,3204,3204,3202,3201,3204,3201,3200,3200,3202,3203,3203,3203,3202,3203,3202,3201,3203,3204,3203,3200,3202,3204,3203,3203,3203
2cm,4045,4045,4045,4045,4059,4045,4045,4045,4059,4045,4045,4045,4059,4045,4045,4045,4059,4045,4045,4045,4059,4045,4045,4045,4059,4059,4045,4059,4059,4031,4031,4059,4045,4059,4045,4031,4045,4059,4045,4045,4045,4045,4045,4031,4045,4059,4045,4045,4045,4059,4045,4045,4045,4059,4045,4045,4045,4059,4059,4045,4045,4059,4045,4045,4045,4059,4045,4045,4059,4059,4045,4045,4045,4059,4045,4045,4045,4059,4045,4045,4045,4045,4059,4045,4031,4045,4059,4045,4045,4059,4059,4045,4045,4045,4059,4045,4045,4045,4045,4045
1cm,4449,4448,4449,4448,4451,4446,4446,4447,4450,4446,4447,4453,4447,4447,4443,4453,4491,4448,4446,4446,4447,4447,4451,4447,4448,4448,4450,4447,4447,4452,4448,4446,4448,4448,4444,4446,4447,4448,4446,4446,4448,4447,4442,4446,4447,4448,4445,4446,4445,4450,4447,4448,4448,4447,4447,4445,4451,4448,4446,4446,4449,4448,4447,4447,4447,4444,4448,4444,4448,4448,4448,4444,4446,4445,4448,4491,4448,4447,4447,4445,4454,4448,4448,4447,4447,4490,4447,4446,4444,4446,4447,4489,4448,4444,4446,4448,4446,4452,4447,4447
0cm,4466,4467,4466,4467,4480,4467,4466,4466,4466,4480,4466,4466,4466,4480,4466,4480,4467,4480,4466,4468,4480,4480,4467,4466,4466,4480,4466,4468,4480,4480,4466,4466,4480,4480,4466,4449,4466,4480,4466,4466,4466,4480,4466,4466,4466,4480,4466,4466,4466,4480,4466,4466,4466,4480,4466,4466,4466,4480,4466,4466,4466,4466,4480,4466,4467,4466,4480,4467,4466,4466,4480,4466,4466,4466,4480,4467,4480,4467,4480,4466,4466,4466,4480,4466,4466,4467,4480,4466,4466,4466,4480,4466,4466,4466,4480,4466,4466,4466,4480,4466
